name,count,return,spot_return,hit_rate,spot_hit_rate
call_spread_0.1,612,0.11694722222222222,0.006392156862745098,0.09640522875816994,0.5408496732026143
call_spread_0.15,891,0.04870909090909089,0.004811896745230079,0.1414141414141414,0.5353535353535354
call_spread_0.2,1173,-0.03337757885763003,0.0034266837169650466,0.17647058823529413,0.5302642796248934
call_spread_0.25,1480,-0.03566013513513515,0.00311027027027027,0.22635135135135134,0.5236486486486487
call_spread_0.3,1748,-0.013321281464530897,0.004215675057208238,0.27860411899313503,0.528604118993135
call_spread_0.35,1977,-0.047200252908447156,0.002849873545776429,0.3070308548305513,0.5179564997470916
call_spread_0.4,2209,-0.036768764146672704,0.003047306473517429,0.3454051607062019,0.5215029425079222
call_spread_0.45,2377,-0.03628228859907446,0.003325115692048801,0.37694572991165337,0.5233487589398401
call_spread_0.5,2523,-0.031059730479587797,0.00336607213634562,0.4114149821640904,0.5295283392786365
call_spread_0.55,2578,-0.03951206361520559,0.0035189294026377036,0.4383242823894492,0.5290923196276183
call_spread_0.6,2456,-0.051915268729641695,0.0028628664495114007,0.4548045602605863,0.5215798045602605
call_spread_0.65,2015,-0.04233200992555831,0.002451563275434243,0.48535980148883373,0.5230769230769231
call_spread_0.7,1202,-0.03471772046589018,0.0006759567387687189,0.49916805324459235,0.5149750415973378
call_spread_0.75,396,-0.04070479797979798,-0.005725,0.4797979797979798,0.494949494949495
call_spread_0.8,55,0.006130909090909086,-0.012294545454545456,0.5454545454545454,0.4909090909090909
call_spread_0.85,12,0.24282499999999999,0.012425,0.6666666666666666,0.5833333333333334
call_spread_0.9,7,0.38254285714285713,0.011814285714285713,0.7142857142857143,0.8571428571428571
call_spread_0.95,1,-0.6452,0.012,0.0,1.0
call_spread_1.0,1,-0.6452,0.012,0.0,1.0
